standard_num,enterprise_name
Q/ASB 89.9-2014,鞍钢股份有限公司
GB/T 33885-2017,武汉中科创新技术股份公司
Q/BQB 620-2018,宝山钢铁股份有限公司
Q/WYC154-2017,吴忠仪表有限责任公司
T/CERS 0006—2020,浙江零壹智能电气研究院有限公司
NB/T 47031-2013,上海发电设备成套设计研究院
GB/T 21833.1-2020,冶金工业信息标准研究院
GB/T 40371-2021,南京欧曼物流科技有限公司
T/CSCP 0013—2017,中国建筑材料科学研究总院
HG/T 4843-2015,浙江天女集团制漆有限公司
GB/T 30667-2014,浙江海轮绳网有限公司
T/CPSS 1004—2019,安徽武怡电气科技有限公司
NB/T 20003.5-2010,核动力运行研究所
GB/T 6148-2005,重庆仪表材料研究所
GB/T 40805-2021,中车戚墅堰机车车辆工艺研究所有限公司
YD/T 4046-2022,中国电信集团有限公司
NB/T 20006.37-2017,上海核工程研究设计院
YB/T 5251-2013,钢铁研究总院
GB/T 11253-2019,湖南华菱涟源钢铁有限公司
GB/T 29713-2013,四川大西洋焊接材料股份有限公司
GB/T 8363-2018,冶金工业信息标准研究院
Q/CY 229-2021,重庆川仪自动化股份有限公司
Q/140100TZS7218-2021,太原重工股份有限公司
GB/T 24523-2020,沈阳天星试验仪器有限公司
SJ/T 11553-2015,上海材料研究所
T/TTGA 002—2020,兴宇伟业(天津)科技有限公司
T/CCMSA 40624—2021,安徽铜都流体科技股份有限公司
GB/T 19769.2-2022,太仓市锅炉自动化仪表厂有限公司
GB/T 25774.3-2010,建德市新安江电焊条厂
GB/T 30668-2014,农业部绳索网具产品质量监督检验测试中心
GB/T 786.1-2021,辽宁东港市宏达液压缸再制造有限公司
GB/T 39255-2020,上海焊接器材有限公司
GB/T 15007-2017,钢铁研究总院
GB/T 14100-2016,中航工业沈阳黎明航空发动机(集团)有限责任公司
GB/T 37961-2019,安徽医科大学第一附属医院
GB/T 20818.12-2020,罗克韦尔自动化(中国)有限公司
T/STACAES 008—2021,徐汇区绿化和市容管理局
GB/T 27067-2017,华夏认证中心有限公司
GB/T 23901.3-2019,四川航天川南火工技术有限公司
T/CEC 387—2020,四川中电启明星信息技术有限公司
GB/T 35132.5-2020,浙江中智达科技有限公司
GB/T 40967-2021,中国核电工程有限公司
GB/T 27423-2019,国家体育用品质量监督检验中心
GB/T 38952-2020,内蒙古第一机械集团有限公司
GB/T 39166-2020,中车集团大连机车车辆有限公司
GB/T 41157.1-2022,清华大学
T/SDL 3.5—2021,广州岭南电缆股份有限公司
GB/T 36439-2018,北京军友诚信质量认证有限公司
GB/T 31230.4-2014,中科院(沈阳)自动化研究所
CB/T 4495-2019,中国船舶工业综合技术经济研究院
GB/T 35480-2017,中机生产力促进中心
GB/T 18115.2-2020,中国工程物理研究院化工材料研究所
T/CITIF 001—2019,东软集团股份有限公司
T/CSTM 00046.5—2018,钢铁研究总院
GB/T 38919-2020,上海发电设备成套设计研究院有限责任公司
T/CNEA 001.2—2021,中国华能集团有限公司
YB/T 4846-2020,冶金工业信息标准研究院
GB/T 27423-2019,国家市场监督管理总局认证认可技术研究中心
T/SZS 4016—2020,华测检测认证集团股份有限公司
T/CSTM 00044.8—2018,武汉材料保护研究所
GB/T 39956.2-2021,宁波索诺工业自控设备有限公司
NB/T 20008.26-2017,中国核动力研究设计院
T/BSRS 051—2021,中国辐射防护研究院
Q/BQB 381-2018,宝山钢铁股份有限公司
NB/T 25073-2017,东方电机控制设备有限公司
GB/T 37972-2019,华为技术有限公司
GB/T 34667-2017,浙江大学
GB/T 40303-2021,钢铁研究总院
GB/T 2550-2016,衡水市质量技术监督检验所
Q/ASB 247.1-2015,鞍钢股份有限公司
T/CEC 387—2020,北京融和晟源售电有限公司
GB/T 36411-2018,红旗仪表(长兴)有限公司
T/NAIA 036—2021,深圳市通量检测科技有限公司
T/CSTM 00819—2022,飞而康快速制造科技有限责任公司
T/CFCA 0024—2021,南京恬安食品科技有限公司
GB/T 38124-2019,中国科学院重庆绿色智能技术研究院
T/CNEA 102.9—2021,东方电气(广州)重型机器有限公司
GB/T 34628-2017,湖北三江航天江北机械工程有限公司
T/ZHCA 006—2019,娇时日化(杭州)股份有限公司
GB/T 34364-2017,太原重工股份有限公司
GB/T 39466.1-2020,北京机械工业自动化研究所有限公司
GB/T 18569.2-2020,苏州市计量测试院
GB/T 23901.3-2019,浙江省特种设备检验研究院
T/CMCA 40017—2021,华泰永创(北京)科技股份有限公司
T/QGCML 242—2021,上海蓝滨石化设备有限责任公司
GB/T 23005-2020,中国企业联合会
T/STACAES 004—2021,徐汇区绿化和市容管理局
GB/T 39955-2021,安徽卓锐三维科技有限公司
GB/T 38265.10-2019,苏州柯仕达电子材料有限公司
T/CIAA 004—2020,台山市誉美厨卫制品有限公司
T/CSCA 130002—2020,上海牵翼网络科技有限公司
GB 38468-2019,宁波新安涂料有限公司
T/CSTM 00819—2022,无锡市产品质量监督检验院
T/CAPEC 02—2018,国电物资集团有限公司
T/NBHTA 003—2021,宁波奉化热处理有限公司
YB/T 4891.3-2021,江苏省镔鑫钢铁集团有限公司
GB/T 39100-2020,中国检验检疫科学研究院
T/CAMETA 10001—2021,奥克斯空调股份有限公司等
GB/T 18271.4-2017,西南大学
GB/T 40729-2021,南京智汇智能科技有限公司
GB/T 5567-2013,衡水市质量技术监督检验所
T/CCMI 9—2020,江阴兴澄特种钢铁有限公司
GB/T 35725-2017,广州供电局有限公司电力试验研究院
GB/T 29910.2-2013,福建上润精密仪器有限公司
T/SZS 4029.1—2020,深圳市电子学会
YB/T 4902-2021,江苏省镔鑫钢铁集团有限公司
T/GDC 65—2020,广东工业大学
GB/T 36231.1-2018,太原重型机械集团工程技术研发有限公司
GB/T 19672-2021,河南省高山阀门有限公司
T/CNEA 006.1—2021,广西防城港核电有限公司
GB/T 34911-2017,北京工业大学
GB/T 34104-2017,钢铁研究总院
T/SSEA 0157—2021,唐山文丰特钢有限公司
GB/T 39903-2021,通标标准技术服务有限公司
T/BSRS 029—2020,苏州热工研究院有限公司
GB/T 22131-2008,北京机电研究所
GB/T 37400.7-2019,一重集团大连工程技术有限公司
GB/T 39251-2020,无锡市产品质量监督检验院
NB/T 20442.13-2017,中核核电运行管理有限公司
GB/T 39949.3-2021,浙江大学
NB/T 25055 -2016,苏州热工研究院有限公司
Q/YCS 325-2021,重庆材料研究院有限公司
T/CNEA 102.2—2021,东方电气(广州)重型机器有限公司
T/CSEE 0041—2017,哈尔滨电机厂有限责任公司
GB/T 41264-2022,遨博(北京)智能科技有限公司
GB/T 36514-2018,中国特种设备检测研究院
Q/OKWF 013-2021,威胜信息技术股份有限公司
T/CPSS 1004—2020,国网福建省电力有限公司电力科学研究院
T/CSCP 0022—2017,钢铁研究总院青岛海洋腐蚀研究所
GB/T 39469-2020,浙江天能能源科技股份有限公司
GB/T 5358-2021,晋亿实业股份有限公司
GB/T 33939-2017,中信重工机械股份有限公司
GB/T 19672-2021,凯瑞特阀业有限公司
GB/T 41393-2022,沈阳新松机器人自动化股份有限公司
GB/T 4026-2019,慈溪市贝士达电动工具有限公司
GB/T 41105.1-2021,航天智造(上海)科技有限责任公司
GB/T 37463-2019,上海材料研究所
GB/T 33160-2016,浙江伟晟控股有限公司
T/CECS 10013—2019,广州国灵空调有限公司
GB/T 26966-2011,中信重工机械股份有限公司
GB/T 30258-2013,武汉钢铁股份有限公司
GB/T 1591-2018,首钢总公司
T/CIAA 015—2021,江西赣大材料技术研究有限公司
GB/T 33846.1-2017,北京长风信息技术产业联盟
GB/T 35115-2017,横河电机(中国)有限公司
GB/T 32476-2016,广州天河胶管制品有限公司
T/CBMCA 014—2020,浙江施维康科技集团有限公司
GB/T 17854-2018,四川大西洋焊接材料股份有限公司
T/BSRS 028—2020,海南核电有限公司
T/ZASDI 0001—2021,华质卓越生产力促进(北京)有限公司
T/TBPS 4119—2019,安徽天康(集团)股份有限公司
GB/T 37590-2019,浙江永固为华涂料有限公司
GB/T 25450-2010,中核北方核燃料元件有限公司
NB/T 20006.32-2016,中国核电工程有限公司
GB/T 16507.3-2013,北京巴布科克威尔科克斯有限公司
GB/T 33008.1-2016,北京奥斯汀科技有限公司
T/CAMMT 21—2019,北京工业大学
T/CAB 0143—2022,苏州市塔克网络科技有限公司
CB/T 3484-2011,中国船舶工业综合技术经济研究院
GB/T 223.90-2021,天津市特种设备监督检验技术研究院
T/CISA 003—2017,上海发电设备成套设计研究院有限责任公司
GB/T 37923-2019,浙江矿山机械有限公司
NB/T 20397-2017,中国核电工程有限公司
Q/CY 25-2020,重庆川仪自动化股份有限公司
Q/321101 AQM014-2020,江苏海龙核科技股份有限公司
GB/T 36514-2018,山东省特种设备检验研究院有限公司
YB/T 5147-2017,上海材料研究所
T/GDCCA 0001—2022,广州竞远安全技术股份有限公司
T/JMA 0004—2021,中国石化股份有限公司九江分公司
T/CSTM 00120—2019,华南理工大学
GB/T 40789-2021,北京市华云分析仪器研究所有限公司
GB/T 33149.1-2016,国家机床质量监督检验中心
Q/320583 KSHH 008-2020,昆山华恒焊接股份有限公司
GB/T 33963-2017,鞍钢股份有限公司
T/CCMI 9—2020,新疆金风科技股份有限公司
T/CMA YJ051—2021,河北大学
GB/T 39282-2020,广东汕头超声电子股份有限公司
T/CSTM 00043.11—2018,武汉材料保护研究所
Q/BQB 150-2018,宝山钢铁股份有限公司
GB/T 41355-2022,苏州市计量测试院
GB/T 39173-2020,中国石油天然气股份有限公司西南管道分公司
GB/T 35077-2018,泉州市中标标准化研究院有限公司
GB/T 41348-2022,南京林业大学
GB/T 38113-2019,上海舜宇恒平科学仪器有限公司
GB/T 228.1-2021,国家钢铁及制品质量监督检验中心
T/CECS 10115—2021,青岛森林金属制品有限公司
NB/T 20465-2017,中广核核电运营有限公司
GB/T 37973-2019,北京华宇软件股份有限公司
GB/T 35077-2018,广州特种机电设备检测研究院/国家防爆设备质量监督检验中心(广东)
GB/T 34667-2017,纳恩博(北京)科技有限公司
T/CAME 27—2021,艾信智慧医疗科技发展(苏州)有限公司
GB/T 40802-2021,二重(德阳)重型装备有限公司
Q/CY 188.3-2018,重庆川仪自动化股份有限公司
Q/GSIJ 0229006-2014,广船国际有限公司
T/CSCP 0036—2018,宝武钢铁集团有限公司
T/CSEA 16—2021,启东市合成化工厂有限公司
GB/T 36244-2018,聚光科技(杭州)股份有限公司
GB/T 41552-2022,中华人民共和国长沙海关
T/CSTM 00227—2020,湖北巴司特科技股份有限公司
GB/T 32575-2016,德信东源电力技术服务(北京)有限公司
GB/T 3274-2017,冶金工业信息标准研究院
GB/T 33203.2-2016,桂林机床股份有限公司
GB/T 39428-2020,浙江英洛华装备制造有限公司
GB/T 40117-2021,上海市机械工程学会科技咨询服务部
T/HAGI 003—2019,广州中科检测技术服务有限公司
GB/T 37797-2019,钢铁研究总院
T/GDAQI 020—2022,广东产品质量监督检验研究院
T/ZJASE 008—2021,杭州杭氧合金封头有限公司
NB/T 20374-2016,上海核工程研究设计院
GB/T 31129-2014,东南大学
GB/T 32861-2016,驻马店中集华骏车辆有限公司
Q/DXNCS 2007-2018,中核控制系统工程有限公司
GB/T 8121-2012,北京机电研究所
GB/T 37590-2019,中国工业防腐蚀技术协会
GB/T 16977-2019,纳恩博(天津)科技有限公司
GB/T 20721-2022,杭州迦智科技有限公司
GB/T 25704-2010,济南重工股份有限公司
NB/T 20010.15-2010,上海核工程研究设计院
YB/T 4767-2019,宝山钢铁股份有限公司
GB/T 37861-2019,中国合格评定国家认可中心
GB/T 35023-2018,北京华德液压工业集团有限责任公司
GB/T 1728-2020,天津海关工业产品安全技术中心
T/CEC 165.11—2018,威胜信息技术股份有限公司
GB/T 41486-2022,国家仪器仪表元器件质量监督检验中心
