standard_num,level,standard_name,drafts_name,publish_date,status
AQ 2001-2018,行业标准,炼钢安全规程,"中国宝武钢铁集团有限公司,首钢京唐钢铁联合有限责任公司,中钢集团武汉安全环保研究院有限公司,中冶南方工程技术有限公司,北京金恒博远科技股份有限公司",2018-05-22,现行
AQ 2002-2018,行业标准,炼铁安全规程,"宁波钢铁有限公司,中国宝武钢铁集团有限公司,中钢集团武汉安全环保研究院有限公司,中冶南方工程技术有限公司,湖南华菱湘潭钢铁有限公司,北京金恒博远科技股份有限公司",2018-05-22,现行
AQ 2003-2018,行业标准,轧钢安全规程,"大冶特殊钢股份有限公司,中国宝武钢铁集团有限公司,中钢集团武汉安全环保研究院有限公司,中冶南方工程技术有限公司,湖南华菱湘潭钢铁有限公司,北京金恒博远科技股份有限公司",2018-05-22,现行
AQ 7011-2018,行业标准,高温熔融金属吊运安全规程,"中国宝武钢铁集团有限公司,中钢集团武汉安全环保研究院有限公司,内蒙古鄂尔多斯电力冶金集团股份有限公司,湖南华菱湘潭钢铁有限公司,山西华泽铝电有限公司",2018-05-22,现行
AQ 7012-2018,行业标准,煤气排水器安全技术规程,"中钢集团吉林铁合金股份有限公司,首钢京唐钢铁联合有限责任公司,中钢集团武汉安全环保研究院有限公司,河南亚天高压阀门制造有限公司,中冶南方工程技术有限公司,湖南华菱湘潭钢铁有限公司,攀钢集团有限公司",2018-05-22,现行
CB/T 3484-2011,行业标准,民用船舶修正总吨计算,"广州中船龙穴造船有限公司,中国船舶工业综合技术经济研究院",2011-06-15,现行
CB/T 3778-2019,行业标准,测深装置元件,"广船国际有限公司,中国船舶工业综合技术经济研究院",2019-05-02,现行
CB/T 3818-2013,行业标准,索具螺旋扣,"巨力索具股份有限公司,沪东中华造船(集团)有限公司",2013-04-25,现行
CB/T 4492-2019,行业标准,船用钢质踏步,广船国际有限公司,2019-05-02,现行
CB/T 4495-2019,行业标准,油舱防火透气头,"广船国际有限公司,中国船舶工业综合技术经济研究院",2019-05-02,现行
DA/T 72-2019,行业标准,岩心档案管理规范,中广核工程有限公司,2019-03-04,现行
DB 3307/T 102-2019,地方标准,电子商务产品质量检验检测机构服务规范,"浙江省方大标准信息有限公司,金华市金诚质量技术培训中心,金华市质量技术监督检测院,永康市质量技术监督检测中心",2019-12-30,现行
DB14/T 2271-2015,地方标准,智能化露天矿建设规范,"中煤平朔集团有限公司,山西天科信息安全科技有限公司,太原重工股份有限公司,精英数智科技股份有限公司,山西科达自控股份有限公司,山西阳光三极科技股份有限公司,山西优班图科技股份有限公司,中煤西安设计工程有限责任公司,联通(山西)产业互联网有限公司",2021-02-26,现行
DB14/T 2470—2022,地方标准,在用起重机械无损检测 通用技术条件,"太原重工股份有限公司,山西省机械产品质量监督检验站有限公司,山西国控集团信息工程技术有限公司",2022-06-14,现行
DB14/T 2471—2022,地方标准,高强度螺栓使用要求,"太原中车时代轨道工程机械有限公司,太原重工股份有限公司,山西汾西重工有限责任公司",2022-06-14,现行
DB14/T 2472—2022,地方标准,离散型装备制造业数字化车间互联互通要求,"太原重工股份有限公司,山西国控集团信息工程技术有限公司,山西汾西重工有限责任公司",2022-06-14,现行
DB14/T 2473—2022,地方标准,基于智能制造  产品设计数据管理要求,"太原重工股份有限公司,山西国控集团信息工程技术有限公司,山西汾西重工有限责任公司",2022-06-14,现行
