enterprise,product
佛山市诺创智能设备有限公司,生产设备维修;
德阳天运机电工程技术有限公司,劳务服务;其它劳务服务;
广州市金仁济机电设备有限公司,轴承;
广州海松焊接设备有限公司,生产设备维修;
广州市华驰危险品货运有限公司,运输服务;
四川华都核设备制造有限公司,中小件的机加工序;其他核岛主设备外包件的机加工序;
扬州诚德钢管有限公司,碳钢管;合金钢管;
山东鲁阳节能材料股份有限公司,保温、耐火材料;
广州市津铭化工设备配件有限公司,压制工序;
济南邦德激光股份有限公司,切割机;
广州市皇冠玛莉奥食品有限公司,劳保食品;
深圳市金苹果数码设计有限公司,广告服务;劳务服务;设计服务;
武汉重型机床集团有限公司,齿轮加工机床;其它金属切削类设备;其它维修及维护服务;生产设备维修;铣床;数控加工中心;磨床;钻床;镗床;镗铣床;锯床;
永一阀门集团有限公司,安全阀;
云智汇（深圳）高新科技服务有限公司,服务器;其它信息化系统;企业管理软件;其它信息化系统硬件;网络设备;企业管理信息系统;
深圳市亨立实业发展有限公司,力学试验检测设备;黑白密度计;超声波探伤设备;光学计量测试仪器;物理特性分析仪器及校准仪器;计量设备维修;材料分析仪（光谱分析仪）;显微镜;光学式分析仪器;氦质谱检漏仪;磁粉探伤设备;扫描电镜;其它检测设备;理化及探伤专用材料;其它化学工程品;质谱仪;涡流检测系统设备;其它维修及维护服务;其它检测认证服务;化学试剂;
湖南飞沃新能源科技股份有限公司,螺柱;螺栓;螺母;风电用高强螺栓;标准紧固件;垫圈;
北京福润达化工有限责任公司,核岛主设备配套中小件;
美资力可仪器（上海）有限公司,计量设备维修;生产设备维修;化学成分分析仪;物理特性分析仪器及校准仪器;其它维修及维护服务;质谱仪;
上海风火轮传动技术有限公司,轴承;
广州市协茂餐饮企业管理有限公司,餐饮服务;
郑州人和机械设备有限公司,运输服务;
广东智环盛发环保科技有限公司,生产设备维修;其它清洁及安全防护设备;
绍兴宏昌防腐保温工程有限公司,其它劳务服务;其它工程服务;
广州市安伦会计师事务所有限公司,审计服务;
西安优耐特容器制造有限公司,培训服务;其它容器;
佛山市质量计量监督检测中心,其它检测认证服务;
北京中电华强焊接工程技术有限公司,生产设备维修;埋弧焊设备;
贵州航天精工制造有限公司,螺柱;垫圈;键;螺母;螺钉;标准紧固件;销;非标紧固件;铆钉;螺栓;挡圈;其它紧固件;
重庆大学,科研服务;
宝利苏迪焊接技术（上海）有限公司,特种电机;管子管板封口焊设备;其它阀门;其它焊接设备;其它泵;其它开关;其它电子功能件;全位置自动焊接设备;其它风机;其它传动件;其它电器设备;其它控制组件;TIG惰性气体钨极保护焊设备;其它维修及维护服务;焊（割）工具;生产设备维修;
中国核动力研究设计院设备制造厂,射线探伤设备;生产设备维修;
广州德隆环境检测技术有限公司,其它检测认证服务;
中智管理咨询有限公司,管理咨询;
安徽应升钢管制造有限公司,不锈钢管;
镇江市三维电加热器有限公司,电加热器;管道连接件;生产设备维修;
江苏常宝普莱森钢管有限公司,合金钢管;不锈钢管;碳钢管;U型管;
上海闻道工贸有限公司,拉刀;
通力凯顿（广州）科技有限公司,信息化软件系统维护;其它信息化系统;企业管理信息系统;企业管理软件;培训服务;其它信息化系统硬件;扫描仪;标识系统;打印机;扫码设备;信息化设备维护;监控系统;通讯系统;复印机;
上海核工碟形弹簧制造有限公司,高温合金钢锻件;
毕加展览有限公司,设计服务;工程咨询;其它工程服务;勘察和设计;
江门市西卡特五金电器有限公司,风电其它部件;
