enterprise,product
FOMAS S.p.A.,不锈钢锻件;
POLYSOUDE S.A.S.,全位置自动焊接设备;TIG惰性气体钨极保护焊设备;其它焊接设备;生产设备维修;管子管板封口焊设备;
Lechler GmbH,喷雾头组件;
上海市计量检测技术研究院,计量检测;
广州兴欣广告制作有限公司,包装服务;其它办公用品;广告服务;
广州天一智能信息工程有限公司,监控系统;其它信息化系统硬件;视频会议系统;其它信息化系统;门禁系统;
广东省科学院智能制造研究所,产品检测;计量检测;其它检测认证服务;其它自动生产线设备;
INDUSTEEL FRANCE,不锈钢板;合金钢板;碳钢板;镍板及镍基板;复合板;
广东省星联钢结构有限公司,风电其它部件;
广州弘禹环保科技有限公司,其它检测认证服务;勘察和设计;管理咨询;
广州华进联合专利商标代理有限公司,其它科技服务;知识产权服务;
B.F.E.,闸阀;
东方电气集团大件物流有限公司（重复请勿用）,运输服务;
广州华南信息安全测评中心,管理咨询;
ABB INC.,压力变送器;液位计;
Svenska Kullager-Fabriken（斯凯孚）,轴承;
SEW-传动设备（天津）有限公司北京分公司,通用五金工具;
Curtiss-Wright Nuclear Division,核岛主设备配套中小件;
广州市奕成信息科技有限公司,信息化软件系统维护;
国家国防科技工业局核技术支持中心,其它检测认证服务;
APAVE SUDEUROPE SAS,培训服务;产品认证;
广州京诚检测技术有限公司,其它检测认证服务;
Orbandal Decoupage,汽水分离再热器波纹板;其它常规岛部件;核岛主设备配套中小件;
日本制钢所  The Japan Steel Works Ltd,大型筒体锻件;大型封头锻件;普通锻件;大型管板锻件;环形锻件;
北京雷蒙赛博机电技术有限公司,核岛设备人孔螺栓拉伸装置;
中国核动力研究设计院,其他核岛主设备外包件;产品检测;垫片;
华南国家计量测试中心/广东省计量科学研究院,计量检测;审计服务;
北京中伦（成都）律师事务所,法律咨询;
VELAN INC.,球阀;闸阀;
上海盖墨机电设备科技有限公司 ,电解抛光工序;
SOCOMORE SAS,防锈材料;
Special Metals Welding Products Company,镍基焊丝;镍基焊带;镍基焊条;焊剂;
上海肖恩实业有限公司,球阀;闸阀;
四川鑫鸿创科技有限公司,中小件的机加工序;
海建船务工程盐城有限公司,运输服务;
佛山市领域机械有限公司,中小件的机加工序;外壳接管等中小零件机加工序;汽室接管等中小零件机加工序;其它常规岛部件;内件中小零件机加工序;其他核岛主设备外包件的机加工序;中小件机加工序;
Swagelok Company,堵头、管帽;三通;弯头;法兰;大小头;球阀;其它阀门;闸阀;截止阀;管道连接件;
佛山市泰翔金属构件有限公司,风机塔筒;风电其它部件;
中国机械工业安全卫生协会,管理咨询;
广州凤凰禹音文化传播有限公司,广告服务;
SCHAAF GmbH & Co. KG,核岛设备人孔螺栓拉伸装置;
重庆高金实业有限公司,中小件的机加工序;
广州执行力方节能环保投资有限公司,劳保食品;
中国兵器工业信息中心,信息化软件系统维护;其它信息化系统;
Westinghouse Electric Co., LLC,产品检测;
广州皓飞文化传播有限公司,广告服务;
河南省格莱特机械设备有限公司,起吊辅具;
上海自动化仪表股份有限公司,液位计;
盈德气体（上海）有限公司,工业用气;
BOHLERWELDINGAUSTRIAGMBH,不锈钢焊丝;高温合金焊丝;不锈钢焊条;碳钢焊带;不锈钢焊带;焊剂;理化检测;碳钢焊条;高温合金焊带;合金钢焊丝;合金钢焊带;其它焊丝;合金钢焊条;碳钢焊丝;高温合金焊条;
常州智汇涂复工业有限公司,镀铬、镀锡、镀锌工序;
TUBES NUCLEARIRES MONTBARD SAS,不锈钢管;U型管;
大连重型锻造有限公司,环形锻件;普通锻件;
农业部南京农业机械化研究所,喷雾头组件;
佛山市嘉晋文化传播有限公司,广告服务;
广东路川钢铁有限公司,碳钢板;焊接管;工字钢;H型钢;不锈钢板;碳钢管;不锈钢管;槽钢;角钢;
生态环境部核与辐射安全中心,其它工程服务;
广东南粤集团建设有限公司,喷涂设备;现场安装;其它工程服务;土建施工;基建维修;
AB Sandvik Materials Technology （SMT）,不锈钢管;U型管;
核工业西南物理研究院,生产设备维修;
SOJITZ EUROPE PLC,防锈材料;
广州市骐峰贸易有限公司,样块、样板;其它量具;测量辅具;细度计;生产设备维修;其它维修及维护服务;弹簧;接近开关;其它电工辅材;化学试剂;电池电解液;表;其它专用工装;散热器;其它黑色型材;磨料;金刚石制品;研磨轮;包装材料;其它清洁及安全防护设备;卡尺;尺;土木工具;轴承;换气风机;照明设备;旋转锉;气动工具;钢丸;清理用其它辅料;纱布类磨具;包装箱;锯条;
广州承龙家具有限公司,办公家俱;其它办公用品;其它物业服务;
新巍拓（苏州）科技有限公司,生产设备维修;超声波探伤设备;射线探伤设备;其它检测设备;磁粉探伤设备;涡流检测系统设备;
广东金粤律师事务所,法律咨询;
海通安恒科技有限公司,通讯系统;笔记本电脑;企业管理信息系统;其它信息化系统;服务器;通讯设备;标识系统;网络设备;企业管理软件;其它计算机软件;信息化软件系统维护;打码机;扫码设备;其它信息化系统硬件;信息化设备维护;台式机;
深圳市国策房地产土地估价有限公司,其它财务金融管理服务;
林德(惠州)工业气体有限公司,工业用气;
圣戈班石膏建材（常州）有限公司,保温、耐火材料;
广东中惠环保科技有限公司,勘察和设计;其它检测认证服务;管理咨询;
二重集团（德阳）重型装备股份有限公司,普通锻件;不锈钢锻件;铸钢件;
泰州润鑫港口与航道工程有限公司,基建工程;基建维修;
广州易森防护用品科技有限公司,头盔、帽子;眼镜、面罩;口罩、耳塞;手套、护腿;应急药品、防护用品;应急救援器材;消防器材;工作服;劳保鞋;洗涤用品;其它劳保安全用品;
广州市本合致现设计有限公司,广告服务;
佛山市博夏机械设备有限公司,叉车;生产设备维修;
核动力运行研究所,产品检测;
VULCANIC SAS,电加热器;
SIEM SUPRANITE,垫片;其它密封件;密封装置;密封圈;
SAFELOK COMPONENTS LIMITED,安全阀;止回阀;泄压阀;电磁阀;调节阀;三通阀;伺服阀;其它阀门;截止阀;球阀;孔板闸阀;堵阀;快关阀;疏水阀;节流阀;旋塞阀;闸阀;表阀;蝶阀;换向阀;取样阀;插装阀;隔离阀;针形阀;溢流阀;遮断阀;
杭州奇亿云计算有限公司,办公软件;
FLEXITALLIC LP,其它密封件;垫片;密封圈;
广州中国科学院工业技术研究院,产品检测;科研服务;
江苏运之达大件物流有限公司,运输服务;
南京探研电磁技术中心,其它科技服务;设计服务;管理咨询;科研服务;
Heat Transfer Research, Inc.,工程计算软件;
