供应商,客户
四川舞钢宏达商贸有限公司,东方电气（广州）重型机器有限公司
苏州宝骅密封科技股份有限公司,东方电气（广州）重型机器有限公司
四川凯满核电设备有限公司,东方电气（广州）重型机器有限公司
伊莱特能源装备股份有限公司,东方电气（广州）重型机器有限公司
成都航天精诚科技有限公司,东方电气（广州）重型机器有限公司
广州市中天焊材有限公司,东方电气（广州）重型机器有限公司
中国核动力研究设计院电热电器厂,东方电气（广州）重型机器有限公司
四川东方物流集团有限公司,东方电气（广州）重型机器有限公司
西安铂力特增材技术股份有限公司,东方电气（广州）重型机器有限公司
德阳市耀群机电配套有限公司,东方电气（广州）重型机器有限公司
上海新闵重型锻造有限公司,东方电气（广州）重型机器有限公司
湖北省葛店开发区万联机械股份有限公司,东方电气（广州）重型机器有限公司
湛江市鹏宇机械设备有限公司,东方电气（广州）重型机器有限公司
中国第一重型机械股份公司,东方电气（广州）重型机器有限公司
浙江久立特材科技股份有限公司,东方电气（广州）重型机器有限公司
一重集团大连核电石化有限公司,东方电气（广州）重型机器有限公司
安徽应流久源核能新材料科技有限公司,东方电气（广州）重型机器有限公司
上海瑞纽机械股份有限公司,东方电气（广州）重型机器有限公司
广州祥红曦船舶工程有限公司,东方电气（广州）重型机器有限公司
上海东海压力容器制造有限公司,东方电气（广州）重型机器有限公司
自贡华电锅炉装备制造有限公司,东方电气（广州）重型机器有限公司
河南神州精工制造股份有限公司,东方电气（广州）重型机器有限公司
嘉兴嘉诚动能设备有限公司,东方电气（广州）重型机器有限公司
四川东方龙源动力设备有限公司,东方电气（广州）重型机器有限公司
深圳市再励实业有限公司,东方电气（广州）重型机器有限公司
平湖核奇重型机械有限公司,东方电气（广州）重型机器有限公司
上海一核阀门股份有限公司,东方电气（广州）重型机器有限公司
江苏新恒基特种装备股份有限公司,东方电气（广州）重型机器有限公司
中航卓越锻造(无锡)有限公司,东方电气（广州）重型机器有限公司
江门市西卡特五金电器有限公司,东方电气（广州）重型机器有限公司
河北宏润核装备科技股份有限公司,东方电气（广州）重型机器有限公司
上海电气上重铸锻有限公司,东方电气（广州）重型机器有限公司
成都宝钢西部贸易有限公司,东方电气（广州）重型机器有限公司
常州东方机械电子有限公司,东方电气（广州）重型机器有限公司
中信重工机械股份有限公司,东方电气（广州）重型机器有限公司
中核嘉华设备制造股份公司,东方电气（广州）重型机器有限公司
深圳市兴安科检测技术有限公司,东方电气（广州）重型机器有限公司
东方电气集团(四川)物产有限公司,东方电气（广州）重型机器有限公司
常熟华新特殊钢有限公司,东方电气（广州）重型机器有限公司
湖南汉华京电清洁能源科技有限公司,东方电气（广州）重型机器有限公司
宝银特种钢管有限公司,东方电气（广州）重型机器有限公司
绍兴山耐高压紧固件有限公司,东方电气（广州）重型机器有限公司
浙江宏伟供应链集团股份有限公司,东方电气（广州）重型机器有限公司
贵州航天新力科技有限公司,东方电气（广州）重型机器有限公司
